Project,Code,Task,SLOC,Hours, Cost ,Complexity,%Reuse
RKV,FW,AZ Core,120593,3350," $536,000 ",3.2,?
RKV,FW,DP P.S.,15582,433," $69,280 ",7.0,?
RKV,FW,DSC,2958,82," $13,120 ",10.1,?
RKV,FW,HSC,647,18," $2,880 ",13.3,?
RKV,FW,IDA,647,18," $2,880 ",14.6,?
RKV,FW,Image Proc,32356,899," $143,840 ",5.4,?
RKV,FW,IP P.S.,10810,300," $48,000 ",3.1,?
RKV,FW,Config,16779,466," $74,560 ",3.4,?
RKV,FW,KVSC,2712,75," $12,000 ",12.4,?
RKV,FW,MCM K7,48556,1349," $215,840 ",11.5,?
RKV,FW,Nav,6399,178," $28,480 ",7.4,?
RKV,FW,SDIF,3704,103," $16,480 ",19.2,?
RKV,FW,Shared,72822,2023," $323,680 ",5.6,?
RKV,FW,SNode,2778,77," $12,320 ",2.6,?
RKV,FW,TMB,1630,45," $7,200 ",5.3,?
RKV,FW,VSU,10701,297," $47,520 ",5.1,?
RKV,SW,Common,130577,7254," $1,160,640 ",1.4,?
RKV,SW,DP,19333,1074," $171,840 ",3.3,?
RKV,SW,IP,39339,2186," $349,760 ",2.8,?
RKV,SW,Messages,47002,2611," $417,760 ",2.5,?
RKV,SW,NC,36948,2053," $328,480 ",2.6,?
RKV,SW,SNode,20000,1111," $177,760 ",6.0,?
RKV,SW,VSU,3923,218," $34,880 ",1.8,?
Booster,SW,BSPRad751,7110,395," $63,200 ",4.8,?
Booster,SW,Flight,7960,442," $70,720 ",7.0,?
Booster,SW,OBV,46945,2608," $417,280 ",7.9,?
Booster,SW,SBS,6396,355," $56,800 ",14.6,?
Booster,SW,Utility,18284,1016," $162,560 ",4.9,?
GS,SW,IFICS,175086,9727," $1,556,320 ",8.0,?
GS,SW,LMS,679127,37729," $6,036,640 ",8.0,?
GS,SW,GFC,2447838,135991," $21,758,560 ",8.0,?
EKV,SW,EKV,292000,16222," $2,595,520 ",8.0,?
MOKV,SW,MOKV,788270,43793," $7,006,880 ",6.5,?
